,"Country, Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,New Recovered,Active Cases,"Serious, Critical",Total Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/1M pop,Population
0,"
North America
","101,151,356",,"1,472,838",,"95,625,282",,"4,053,236","7,898",,,,,
1,"
Asia
","155,158,659","+248,788","1,430,803",+246,"147,781,169","+280,223","5,946,687","11,209",,,,,
2,"
South America
","57,510,386",+179,"1,298,292",,"53,437,599",+346,"2,774,495","10,505",,,,,
3,"
Europe
","195,916,939","+5,322","1,839,227",+91,"184,775,050","+97,240","9,302,662","6,983",,,,,
4,"
Oceania
","8,603,336","+45,913","12,160",+69,"8,114,112","+7,871","477,064",132,,,,,
5,"
Africa
","12,126,756",,"254,789",,"11,317,688",,"554,279",963,,,,,
6,"

",721,,15,,706,,0,0,,,,,
59,Kazakhstan,"1,305,723",+8,"13,661 ",,"1,291,885",,177,24,"67,998",711,"11,575,012","602,791","19,202,349 "
60,Singapore,"1,286,216",,"1,382  ",,"1,203,030",,"81,804",5,"216,624",233,"23,877,882","4,021,510","5,937,541 "
61,Hong Kong,"1,211,338",,"9,374 ",,N/A,N/A,N/A,5,"159,130","1,231","44,972,952","5,907,969","7,612,252 "
62,Morocco,"1,167,325",,"16,076 ",,"1,149,981",,"1,268",293,"30,931",426,"11,237,010","297,751","37,739,677 "
63,Bulgaria,"1,164,358",,"37,121 ",,"1,048,116",,"79,121",38,"169,995","5,420","9,986,160","1,457,971","6,849,355 "
64,New Zealand,"1,136,708","+6,959","1,087 ",+30,"1,086,392","+7,871","49,229",,"227,246",217,"71,423,774","14,278,758","5,002,100 "
65,Croatia,"1,135,549",,"15,978 ",,"1,116,632",,"2,939",5,"279,878","3,938","4,871,108","1,200,578","4,057,304 "
66,Cuba,"1,105,136",,"8,529 ",,"1,096,336",,271,23,"97,683",754,"13,842,131","1,223,504","11,313,516 "
67,Lebanon,"1,098,899",,"10,423 ",,"1,086,106",,"2,370",186,"162,378","1,540","4,795,578","708,615","6,767,534 "
68,Finland,"1,092,193",,"4,522 ",,N/A,N/A,N/A,21,"196,543",814,"10,911,396","1,963,530","5,557,031 "
69,Lithuania,"1,062,178",+106,"9,141 ",+2,"1,035,823",+140,"17,214",8,"400,769","3,449","9,974,237","3,763,363","2,650,352 "
70,Tunisia,"1,042,362",,"28,632 ",,N/A,N/A,N/A,29,"86,482","2,376","4,618,974","383,222","12,052,988 "
71,Slovenia,"1,023,918",,"6,634 ",,"1,011,721",,"5,563",6,"492,392","3,190","2,664,422","1,281,293","2,079,479 "
72,Belarus,"982,867",,"6,978 ",,N/A,N/A,N/A,,"104,079",739,"13,220,483","1,399,966","9,443,433 "
73,Nepal,"979,105",,"11,952 ",,"967,024",,129,,"32,496",397,"5,693,647","188,970","30,129,853 "
74,Uruguay,"916,388",,"7,227 ",,"901,555",,"7,606",18,"262,084","2,067","6,114,822","1,748,819","3,496,544 "
75,Bolivia,"908,137",+179,"21,946 ",,"867,643",+362,"18,548",220,"75,837","1,833","2,705,422","225,927","11,974,776 "
76,UAE,"906,236",,"2,302 ",,"889,943",,"13,991",,"89,577",228,"161,440,895","15,957,598","10,116,867 "
77,Costa Rica,"891,038",,"8,495 ",,"854,426",,"28,117",45,"171,939","1,639","4,575,910","882,992","5,182,277 "
78,Ecuador,"876,009",,"35,622 ",,N/A,N/A,N/A,759,"48,263","1,963","2,470,170","136,092","18,150,751 "
79,Guatemala,"858,629",,"18,047 ",,"837,460",,"3,122",5,"46,303",973,"4,635,998","250,006","18,543,551 "
80,Panama,"843,697",,"8,239 ",,"804,601",,"30,857",16,"189,873","1,854","6,190,049","1,393,063","4,443,481 "
